"Schema Version","Record Type","Paper Title","Authors","Paper URL","Associated GitHub URL","GitHub Stars","Published Date"
"1.0","RESEARCH_PAPER","Agentic Societies Need a Social Harness","Tapan Chugh, Vidushi Singh, Krish Jain, Arvind Krishnamurthy, Ratul Mahajan","http://arxiv.org/abs/2609.17527v1","https://github.com/jyyang621/DailyArXiv",12,"2026-09-15T17:57:27Z"
"1.0","RESEARCH_PAPER","ScienceBuddy: Recursive-in-Recursive Self-Improvement for Interactive Scientific Agents","Shuhan Xue, Jianyuan Zhong, Ziyuan Nan, Wenbin Li, Zhaochen Yu, Jinchao Ding, Qiang Gao, Pengyu Zhan, Yuntong Zhang, Tian Cheng, Zhenfei Yin, Yingcheng Wu, Ling Yang","http://arxiv.org/abs/2609.17523v1","https://github.com/luohongk/Embodied-AI-Daily",454,"2026-09-15T17:55:28Z"
"1.0","RESEARCH_PAPER","PhysStream: Streaming Physics-Grounded Video Generation with Structured Scene Memory and Fine-Grained Motion Control","Chuhao Chen, Peter Wonka, Chaoyang Wang, Chen Wang, Qiao Feng, Sergey Tulyakov, Lingjie Liu","http://arxiv.org/abs/2609.17521v1","https://github.com/WingEdge777/daily-papers",18,"2026-09-15T17:55:13Z"
"1.0","RESEARCH_PAPER","When Should LLMs Abstain? Chain-of-Self-Questioning for Selective Risk Control","Ali Şenol","http://arxiv.org/abs/2609.17516v1","https://github.com/Tavish9/awesome-daily-AI-arxiv",117,"2026-09-15T17:52:24Z"
"1.0","RESEARCH_PAPER","LACE: Layer-Wise Compression for Dynamic Frame Rate Codecs","Thanapat Trachu, Samuele Cornell, William Chen, Shinji Watanabe","http://arxiv.org/abs/2609.17509v1","https://github.com/liutaocode/TTS-arxiv-daily",668,"2026-09-15T17:46:51Z"
"1.0","RESEARCH_PAPER","ENCP: Episode-Normalized Conformal Prediction for Vision-and-Language Navigation","Vicky Feliren, A. Taufiq Asyhari, Muhamad Risqi U. Saputra","http://arxiv.org/abs/2609.17499v1","https://github.com/luohongk/Embodied-AI-Daily",454,"2026-09-15T17:42:15Z"
"1.0","RESEARCH_PAPER","Verifiable Social Reasoning for LLM Assistants","Amir Taubenfeld, Zorik Gekhman, Avigail Grinstein-Dabush, Itay Laish, Ariel Goldstein, Marian Croak, Avinatan Hassidim, Yossi Matias, Amir Feder","http://arxiv.org/abs/2609.17496v1","https://github.com/luohongk/Embodied-AI-Daily",454,"2026-09-15T17:37:29Z"
"1.0","RESEARCH_PAPER","FreqSpaNet: Frequency and Spatial Learning of SFPF for Physical Layer Hardware Integrity Detection","Xiaoxuan Huang, Jinlong Xu, YiZhe Wang, Meng Zhang, Xian Li, Yuying Bian","http://arxiv.org/abs/2609.17491v1","https://github.com/pstAmbition/DailyArXiv_Multimodal",19,"2026-09-15T17:32:12Z"
"1.0","RESEARCH_PAPER","LimiX-2: A Contextual Mechanism Network Towards General Structured-Data Intelligence","Xingxuan Zhang, Gang Ren, Hao Yuan, Hao Zou, Hongze Tan, Hui Wang, Jianhao Song, Jiansheng Li, Jiayao Zhang, Jinghan Zhang, Kaifang Li, Lang Mo, Li Mao, Mingchao Hao, Nuo Xu, Rui Ding, Ruiji Zhang, Shuyang Li, Siyu Mei, Tianyang Zhang, Weiyang Mu, Yancheng Dong, Yongxian Wei, Yuan Xue, Yuanrui Wang, Yue He, Zijia Yang, Ziyun Li, Dongzhe Li, Fuqiang Wang, Jiandong Liu, Jiawei Chen, Jiaxin Du, Kaijie Cheng, Kehan Li, Lei Sun, Linjun Zhou, Ningbo Dai, Qi Wang, Renzhe Xu, Shaoxing Du, Shumeng Yang, Wang Lu, Wenjing Chu, Xiannan Huang, Xiaoyu Lin, Xing Ai, Xinyan Han, Xuanyue Li, Xuanyue Su, Xukun Zhang, Yan Lu, Yaxin Zhang, Yi Qin, Yifei Huang, Yihan Xu, Yongle Lv, Yuanyuan Jiang, Yushan Han, Peng Cui","http://arxiv.org/abs/2609.17488v1","https://github.com/limix-ldm-ai/LimiX",4180,"2026-09-15T17:30:02Z"
"1.0","RESEARCH_PAPER","Bridging the Gap Between Homogeneous and Heterogeneous Asynchronous Optimization Is Surprisingly Difficult","Alexander Tyurin","http://arxiv.org/abs/2609.17483v1","https://github.com/WingEdge777/daily-papers",18,"2026-09-15T17:24:09Z"
