"Schema Version","Record Type","Source Name","Source URL","Canonical Startup Name","Primary Business Sector","Algorithmic Employee Count","Open Source Downloads (Traction)","Collected At"
"1.0","STARTUP","Hugging Face Organizations","https://huggingface.co/sentence-transformers","sentence-transformers","Sentence Transformers",705,256481161,"2026-09-17T03:46:08.815Z"
"1.0","STARTUP","Hugging Face Organizations","https://huggingface.co/cross-encoder","cross-encoder","Sentence Transformers",471,88865138,"2026-09-17T03:46:08.816Z"
"1.0","STARTUP","Hugging Face Organizations","https://huggingface.co/BAAI","BAAI","Sentence Transformers",418,64638739,"2026-09-17T03:46:08.816Z"
"1.0","STARTUP","Hugging Face Organizations","https://huggingface.co/google","google","Tf",402,58507686,"2026-09-17T03:46:08.816Z"
"1.0","STARTUP","Hugging Face Organizations","https://huggingface.co/google-bert","google-bert","Tf",372,47693504,"2026-09-17T03:46:08.816Z"
"1.0","STARTUP","Hugging Face Organizations","https://huggingface.co/amazon","amazon","Chronos Forecasting",281,22779369,"2026-09-17T03:46:08.816Z"
"1.0","STARTUP","Hugging Face Organizations","https://huggingface.co/FacebookAI","FacebookAI","Tf",278,22235431,"2026-09-17T03:46:08.817Z"
"1.0","STARTUP","Hugging Face Organizations","https://huggingface.co/Qwen","Qwen","Text Generation",278,22157967,"2026-09-17T03:46:08.817Z"
"1.0","STARTUP","Hugging Face Organizations","https://huggingface.co/openai","openai","Vision",276,21790053,"2026-09-17T03:46:08.817Z"
"1.0","STARTUP","Hugging Face Organizations","https://huggingface.co/Comfy-Org","Comfy-Org","Diffusion Single File",267,20053814,"2026-09-17T03:46:08.817Z"
"1.0","STARTUP","Hugging Face Organizations","https://huggingface.co/timm","timm","Timm",253,17261813,"2026-09-17T03:46:08.817Z"
"1.0","STARTUP","Hugging Face Organizations","https://huggingface.co/jonatasgrosman","jonatasgrosman","Jax",251,16925814,"2026-09-17T03:46:08.817Z"
"1.0","STARTUP","Hugging Face Organizations","https://huggingface.co/openai-community","openai-community","Text Generation",243,15584259,"2026-09-17T03:46:08.817Z"
"1.0","STARTUP","Hugging Face Organizations","https://huggingface.co/nomic-ai","nomic-ai","Sentence Transformers",240,15135151,"2026-09-17T03:46:08.817Z"
"1.0","STARTUP","Hugging Face Organizations","https://huggingface.co/unsloth","unsloth","Text Generation",226,12866779,"2026-09-17T03:46:08.817Z"
